,vac_name,salary_min,salary_max,currency,href,host
84,Программист Python,80000.0,90000.0,руб.,https://hh.ru/vacancy/67473765?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
85,Middle Python Developer,170000.0,,руб.,https://hh.ru/vacancy/55078728?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
86,Middle Python Developer,170000.0,,руб.,https://hh.ru/vacancy/55078729?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
87,Старший разработчик Python,200000.0,,руб.,https://hh.ru/vacancy/66808807?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
88,Middle Python developer,90000.0,160000.0,руб.,https://hh.ru/vacancy/50967638?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
89,Junior Python developer,50000.0,90000.0,руб.,https://hh.ru/vacancy/51697031?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
90,"Программист-разработчик (Python,Golang)",90000.0,150000.0,руб.,https://hh.ru/vacancy/66956783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
91,Python / Django разработчик (ведущий),180000.0,180000.0,руб.,https://hh.ru/vacancy/66939352?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
92,Ведущий программист Python,240000.0,,руб.,https://hh.ru/vacancy/48799803?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
93,Python разработчик,,150000.0,руб.,https://hh.ru/vacancy/55861794?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
94,Python разработчик,150000.0,,руб.,https://hh.ru/vacancy/66909942?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
95,Программист-математик/Python-разработчик,150000.0,180000.0,руб.,https://hh.ru/vacancy/67621315?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
96,Python Django middle разработчик,120.0,250.0,руб.,https://hh.ru/vacancy/67620948?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
97,Разработчик Python/Django Senior,250000.0,,руб.,https://hh.ru/vacancy/66778783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
98,Python тимлид (Будапешт/Москва),330000.0,460000.0,руб.,https://hh.ru/vacancy/67219960?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
99,Ведущий разработчик (Python/JavaScript),200000.0,350000.0,руб.,https://hh.ru/vacancy/55900741?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
100,Python Developer (Senior/Middle),2000.0,,USD,https://hh.ru/vacancy/67618011?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
101,Программист Python,90000.0,,руб.,https://hh.ru/vacancy/49955680?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
102,Программист Python,60000.0,,руб.,https://hh.ru/vacancy/67006664?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
103,Python Developer,150000.0,250000.0,руб.,https://hh.ru/vacancy/54936646?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
104,Middle C++ and Python Developer,,220000.0,руб.,https://hh.ru/vacancy/66192796?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
105,Junior Python разработчик (Django),60000.0,80000.0,руб.,https://hh.ru/vacancy/67608364?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
106,Senior Developer/Техлид Python,350000.0,400000.0,руб.,https://hh.ru/vacancy/67495724?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
107,Разработчик Python middle (удаленно),200000.0,,руб.,https://hh.ru/vacancy/66092510?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
108,Python Middle/Senior Developer,1500.0,3500.0,USD,https://hh.ru/vacancy/67335196?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
109,Python Backend Developer (Middle),120000.0,220000.0,руб.,https://hh.ru/vacancy/66989795?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
110,Full stack developer (Python/JS),60000.0,,руб.,https://hh.ru/vacancy/67400390?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
111,Преподаватель кружка программирования Python,30000.0,60000.0,руб.,https://hh.ru/vacancy/67598350?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
112,Разработчик Python под Linux,120000.0,,руб.,https://hh.ru/vacancy/38348123?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
113,Middle Python developer,150000.0,200000.0,руб.,https://hh.ru/vacancy/49299326?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
114,Full Stack Python/JS разработчик,120000.0,,руб.,https://hh.ru/vacancy/66834958?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
115,Python разработчик (Django),200000.0,,руб.,https://hh.ru/vacancy/67096000?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
116,Python Middle Developer,,200000.0,руб.,https://hh.ru/vacancy/67473101?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
117,Программист Python/Django/PostgreSQL (консультант по вопросам администрирования баз данных ОРСИС УД),45.0,50000.0,руб.,https://hh.ru/vacancy/67085709?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
118,Python developer (Senior),360000.0,480000.0,руб.,https://hh.ru/vacancy/54956212?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
119,Middle+ Python Developer,3000.0,4000.0,USD,https://hh.ru/vacancy/67467791?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
120,Senior Python developer,,7000.0,USD,https://hh.ru/vacancy/66675845?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
121,Инженер Python ML,150000.0,300000.0,руб.,https://hh.ru/vacancy/67462869?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
122,Middle Backend Developer (Python Django),230000.0,280000.0,руб.,https://hh.ru/vacancy/67494460?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
123,Программист Python,95000.0,213000.0,руб.,https://hh.ru/vacancy/66772109?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
124,Senior Python developer,,300000.0,руб.,https://hh.ru/vacancy/66958082?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
125,Team Leader (Python),6000.0,7000.0,EUR,https://hh.ru/vacancy/67567460?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
126,"Python-разработчик (Django, DRF)",60000.0,150000.0,руб.,https://hh.ru/vacancy/39736489?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
127,Python Developer,200000.0,,руб.,https://hh.ru/vacancy/66613293?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
128,Программист Python,60000.0,100000.0,руб.,https://hh.ru/vacancy/67522290?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
129,Python-разработчик систем сбора,100000.0,150000.0,руб.,https://hh.ru/vacancy/49299293?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
130,Python-разработчик систем сбора,100000.0,150000.0,руб.,https://hh.ru/vacancy/48504803?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
131,Middle Python Backend Developer (Python Django разработчик),90000.0,150000.0,руб.,https://hh.ru/vacancy/67459051?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
132,Full-stack разработчик (Python + Django. Vue.),150000.0,,руб.,https://hh.ru/vacancy/67346989?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
133,Middle/Senior Python Developer,120000.0,300000.0,руб.,https://hh.ru/vacancy/66919282?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
134,"Senior Machine Learning Developer (Java/Python), remote",350000.0,,руб.,https://hh.ru/vacancy/67614749?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
135,Senior Software Engineer (Python),4500.0,,USD,https://hh.ru/vacancy/67573339?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
136,Senior Software Engineer (Python),4500.0,,USD,https://hh.ru/vacancy/67573340?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
137,Senior Software Engineer (Python),4500.0,,USD,https://hh.ru/vacancy/67573341?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
138,Senior Software Engineer (Python),4500.0,,USD,https://hh.ru/vacancy/67573342?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
139,Senior Software Engineer (Python),4500.0,,USD,https://hh.ru/vacancy/67573343?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
140,Backend разработчик Python (midlle/senior),150000.0,250000.0,руб.,https://hh.ru/vacancy/67589860?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
141,Python QA automation developer (remote),,300000.0,руб.,https://hh.ru/vacancy/66681692?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
142,Разработчик Python,200000.0,268000.0,руб.,https://hh.ru/vacancy/66825446?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
143,Senior Machine Learning Developer (Java/Python) (to Europe),350000.0,,руб.,https://hh.ru/vacancy/67614817?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
144,Разработчик Python,80000.0,130000.0,руб.,https://hh.ru/vacancy/54815811?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
145,Аналитик Python,82000.0,82000.0,руб.,https://hh.ru/vacancy/67278230?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
146,Senior python developer (computing frameworks),200000.0,300000.0,руб.,https://hh.ru/vacancy/55480836?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
147,Middle/Senior Python разработчик (удаленно),,250000.0,руб.,https://hh.ru/vacancy/54368979?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
148,Middle Python программист,,160000.0,руб.,https://hh.ru/vacancy/37942316?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
149,Senior Python программист,,220000.0,руб.,https://hh.ru/vacancy/41607887?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
150,Backend Developer (Python),100000.0,,руб.,https://hh.ru/vacancy/67081774?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
151,Ведущий разработчик системы мониторинга оборудования (Java/Python/Aggregate),,183429.0,руб.,https://hh.ru/vacancy/67598769?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
152,Senior Python-разработчик,,400000.0,руб.,https://hh.ru/vacancy/54899635?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
153,Senior backend developer на Python с опытом в gamedev,3000.0,,USD,https://hh.ru/vacancy/67611788?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
154,Python-разработчик в R&D отдел,100000.0,150000.0,руб.,https://hh.ru/vacancy/49299311?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
155,Ведущий программист Python,225000.0,,руб.,https://hh.ru/vacancy/66670599?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
156,"Middle Full-stack разработчик (Python, Django)",180000.0,300000.0,руб.,https://hh.ru/vacancy/67474855?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
157,Python-разработчик в R&D отдел,100000.0,150000.0,руб.,https://hh.ru/vacancy/48504798?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
158,Разработчик Python (Middle/Senior),120000.0,200000.0,руб.,https://hh.ru/vacancy/44936197?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
159,Разработчик Python,300000.0,,руб.,https://hh.ru/vacancy/67471009?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
160,Преподаватель курса Python-разработчик,32400.0,50000.0,руб.,https://hh.ru/vacancy/55437723?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
161,Python разработчик,35000.0,120000.0,руб.,https://hh.ru/vacancy/67445029?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
162,Python-разработчик,170000.0,270000.0,руб.,https://hh.ru/vacancy/67446422?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
163,Middle-backend Python разработчик,,140000.0,руб.,https://hh.ru/vacancy/67535650?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
164,Middle/Senior Python Developer,200000.0,,руб.,https://hh.ru/vacancy/67534700?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
165,Программист - автоматизатор (C# / Python) / разработчик ботов,60000.0,80000.0,руб.,https://hh.ru/vacancy/67564762?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
